,index,title,production_budget,domestic_gross,worldwide_gross,year,studio,runtime_minutes,genres,averagerating,numvotes,profit,roi
176,5433,The Station Agent,500000.0,5801558.0,9470209,2003,,,,,,8970209.0,1794.0418000000002
177,5432,Mad Hot Ballroom,500000.0,8117961.0,9387581, 2005,,,,,,8887581.0,1777.5162000000003
178,3537,The Grudge,10000000.0,110359362.0,187281115, 2004,,,,,,177281115.0,1772.81115
179,4870,The French Connection,2200000.0,41158757.0,41158757,1971,,,,,,38958757.0,1770.8525909090908
180,5048,From Here to Eternity,1650000.0,30500000.0,30500000,1953,,,,,,28850000.0,1748.4848484848485
181,5570,Lovely and Amazing,250000.0,4210379.0,4613482, 2002,,,,,,4363482.0,1745.3928
182,4672,Waking Ned Devine,3000000.0,24793251.0,55193251, 1998,,,,,,52193251.0,1739.7750333333333
183,2486,Raiders of the Lost Ark,20000000.0,225686079.0,367452079, 1981,,,,,,347452079.0,1737.2603949999998
184,4269,Paranormal Activity: The Marked Ones,5000000.0,32462372.0,90904854,2014,,,,,,85904854.0,1718.09708
185,4423,Police Academy,4500000.0,81198894.0,81198894, 1984,,,,,,76698894.0,1704.4198666666666
186,2032,Aladdin,28000000.0,217350219.0,504050219, 1992,,,,,,476050219.0,1700.1793535714285
187,5218,The Howling,1000000.0,17985000.0,17985000, 1981,,,,,,16985000.0,1698.5
188,2488,Home Alone 2: Lost in New York,20000000.0,173585516.0,358994850, 1992,,,,,,338994850.0,1694.97425
189,2160,Mrs. Doubtfire,25000000.0,219195051.0,441286003, 1993,,,,,,416286003.0,1665.144012
190,1783,Star Wars Ep. VI: Return of the Jedi,32500000.0,309205079.0,572705079, 1983,,,,,,540205079.0,1662.1694738461538
191,4886,Courageous,2000000.0,34522221.0,35185884, 2011,,,,,,33185884.0,1659.2942
192,5616,Per un pugno di dollari,200000.0,3500000.0,3516248, 1967,,,,,,3316248.0,1658.124
193,5147,Friday the 13th Part 2,1250000.0,21722776.0,21722776, 1981,,,,,,20472776.0,1637.8220800000001
194,4784,The Omen,2800000.0,48570885.0,48570885, 1976,,,,,,45770885.0,1634.6744642857143
195,4406,Hostel,4800000.0,47326473.0,82241110,2006,,,,,,77441110.0,1613.3564583333332
196,3175,Crocodile Dundee 2,14000000.0,109306210.0,239606210, 1988,,,,,,225606210.0,1611.4729285714286
197,4115,Butch Cassidy and the Sundance Kid,6000000.0,102308900.0,102310653, 1969,,,,,,96310653.0,1605.17755
198,4116,Mary Poppins,6000000.0,102272145.0,102272145, 1964,,,,,,96272145.0,1604.5357500000002
199,2489,Close Encounters of the Third Kind,20000000.0,169100479.0,340800479, 1977,,,,,,320800479.0,1604.0023949999998
200,3530,Le Fabuleux destin d'Am̩lie Poulain,10350000.0,33201661.0,174201661,2001,,,,,,163851661.0,1583.1078357487922
201,1374,The Sixth Sense,40000000.0,293506292.0,672806292,1999,,,,,,632806292.0,1582.01573
202,2405,There's Something About Mary,22000000.0,176484651.0,369884651, 1998,,,,,,347884651.0,1581.2938681818182
203,5388,Hoop Dreams,700000.0,7768371.0,11768371, 1994,,,,,,11068371.0,1581.195857142857
204,3544,Insidious: The Last Key,10000000.0,67745330.0,167885588,2018,,,,,,157885588.0,1578.85588
205,5190,Waiting...,1125000.0,16124543.0,18673274,2005,,,,,,17548274.0,1559.8465777777778
206,5224,Blue Valentine,1000000.0,9737892.0,16566240, 2010,,,,,,15566240.0,1556.624
207,5225,Transamerica,1000000.0,9015303.0,16553163, 2006,,,,,,15553163.0,1555.3163
208,2161,Rain Man,25000000.0,172825435.0,412800000, 1988,,,,,,387800000.0,1551.2
209,824,Jurassic Park,63000000.0,395708305.0,1038812584, 1993,,,,,,975812584.0,1548.9088634920633
